file,method,metric,margin_mean,gradient_mean,margin_points,gradient_points
0WxgIKuetYI_0_s0_f0_0044.npz,Euclidean,euclidean,0.4105910062789917,2.1361756324768066,1,1
0WxgIKuetYI_0_s0_f2_0045.npz,Euclidean,euclidean,0.6063335537910461,2.3845481872558594,1,1
0WxgIKuetYI_0_s0_f4_0046.npz,Euclidean,euclidean,0.5217222571372986,2.3575613498687744,1,1
0WxgIKuetYI_0_s1_f0_0047.npz,Euclidean,euclidean,0.5173716992139816,1.2015354633331299,2,2
0WxgIKuetYI_0_s1_f1_0048.npz,Euclidean,euclidean,0.47245344519615173,2.4306979179382324,1,1
0WxgIKuetYI_0_s1_f2_0049.npz,Euclidean,euclidean,0.5150700956583023,1.1630236506462097,2,2
0WxgIKuetYI_0_s1_f3_0050.npz,Euclidean,euclidean,0.45444820324579877,0.7773076097170512,3,3
0WxgIKuetYI_0_s1_f4_0051.npz,Euclidean,euclidean,0.45207756757736206,0.7732138633728027,3,3
0WxgIKuetYI_0_s2_f0_0052.npz,Euclidean,euclidean,0.42752830386161805,0.15888309677441914,15,15
0WxgIKuetYI_0_s2_f1_0053.npz,Euclidean,euclidean,0.40559410452842715,0.23184106945991517,10,10
0WxgIKuetYI_0_s2_f2_0054.npz,Euclidean,euclidean,0.43874460458755493,0.23783405721187592,10,10
0WxgIKuetYI_0_s2_f3_0055.npz,Euclidean,euclidean,0.3978247479958968,0.212468914010308,11,11
0WxgIKuetYI_0_s2_f4_0056.npz,Euclidean,euclidean,0.42836226357354057,0.2662879327932994,9,9
0bzkGQLy7b4_2_s0_f0_0012.npz,Euclidean,euclidean,0.34918054938316345,1.2149662971496582,2,2
0bzkGQLy7b4_2_s0_f1_0013.npz,Euclidean,euclidean,0.31009716391563413,0.5077980935573578,5,5
0bzkGQLy7b4_2_s0_f2_0014.npz,Euclidean,euclidean,0.2847186028957367,0.8475178480148315,3,3
0bzkGQLy7b4_2_s0_f3_0015.npz,Euclidean,euclidean,0.39220908284187317,0.7688913544019064,3,3
0bzkGQLy7b4_2_s0_f4_0016.npz,Euclidean,euclidean,0.44894496351480484,0.5355900302529335,4,4
0bzkGQLy7b4_2_s1_f0_0017.npz,Euclidean,euclidean,0.37941460655285764,0.19465421369442573,13,13
0bzkGQLy7b4_2_s1_f1_0018.npz,Euclidean,euclidean,0.36458082795143126,0.488120299577713,5,5
0bzkGQLy7b4_2_s1_f2_0019.npz,Euclidean,euclidean,0.39909503236413,0.3130197189748287,8,8
0bzkGQLy7b4_2_s1_f3_0020.npz,Euclidean,euclidean,0.36143565457314253,0.30257398821413517,8,8
0bzkGQLy7b4_2_s1_f4_0021.npz,Euclidean,euclidean,0.42346838116645813,0.25026516285207534,9,9
0bzkGQLy7b4_2_s2_f0_0022.npz,Euclidean,euclidean,0.23985034854788528,0.15339002797478124,19,19
0bzkGQLy7b4_2_s2_f1_0023.npz,Euclidean,euclidean,0.3252866697662017,0.06881792426985853,34,34
0bzkGQLy7b4_2_s2_f2_0024.npz,Euclidean,euclidean,0.31758008209558636,0.0909636989235878,26,26
0bzkGQLy7b4_2_s2_f3_0025.npz,Euclidean,euclidean,0.26456775310738334,0.0869813312230439,29,29
0bzkGQLy7b4_2_s2_f4_0026.npz,Euclidean,euclidean,0.3295418901575936,0.08442733354038662,27,27
0mqckt2Uca8_0_s1_f3_0027.npz,Euclidean,euclidean,0.26051029562950134,3.0374293327331543,1,1
0mqckt2Uca8_0_s1_f4_0028.npz,Euclidean,euclidean,0.696533739566803,1.8472965955734253,1,1
